max_date;stid;max
2015-03-10;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2015-03-11;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2015-03-12;105307c4-8562-45e4-9cc2-a04ef4a19400;148
2015-03-13;105307c4-8562-45e4-9cc2-a04ef4a19400;147
2015-03-14;105307c4-8562-45e4-9cc2-a04ef4a19400;147
2015-03-15;105307c4-8562-45e4-9cc2-a04ef4a19400;147
2015-03-16;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-17;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-18;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-19;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-20;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-21;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-22;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-23;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-24;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2015-03-25;105307c4-8562-45e4-9cc2-a04ef4a19400;147
2015-03-26;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-03-27;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-03-28;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-03-29;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-03-30;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-03-31;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-01;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-02;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-03;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-04;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-05;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-06;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-07;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-08;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-09;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-10;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-11;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-12;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2015-04-13;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2015-04-14;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2015-04-15;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2015-04-16;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-04-17;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-04-18;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-04-19;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-04-20;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-04-21;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-04-22;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-04-23;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-04-24;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2015-04-25;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2015-04-26;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2015-04-27;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-04-28;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-04-29;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-04-30;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-01;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-02;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-03;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-04;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-05;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-06;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-07;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-08;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-09;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-10;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-11;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-12;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-13;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-14;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-15;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-16;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-17;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-05-18;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-19;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-20;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-21;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-22;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-23;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-24;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-25;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-26;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-27;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-28;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-29;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-30;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-05-31;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-06-01;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-02;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-03;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2015-06-04;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2015-06-05;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-06;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-07;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-08;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2015-06-09;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-10;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2015-06-11;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2015-06-12;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-13;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-14;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-15;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-16;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-17;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-18;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-19;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-20;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-21;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-22;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-23;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-24;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-25;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-26;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-27;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-28;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-29;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-06-30;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-01;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-02;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-03;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-04;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-05;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-06;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-07;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-08;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-09;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-10;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-11;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-12;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2015-07-13;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-07-14;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-15;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-16;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-17;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-18;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-19;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-20;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-21;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-22;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-07-23;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-07-24;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-25;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-26;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-27;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-28;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-07-29;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-07-30;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-07-31;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-08-01;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-08-02;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2015-08-03;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-08-04;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-08-05;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2015-08-06;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-08-07;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-08-08;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-08-09;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2015-08-10;105307c4-8562-45e4-9cc2-a04ef4a19400;155
2015-08-11;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2015-08-12;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2015-08-13;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2015-08-14;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-08-15;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-08-16;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-08-17;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2015-08-18;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2015-08-19;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2015-08-20;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2015-08-21;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2015-08-22;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2015-08-23;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2015-08-24;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2015-08-25;105307c4-8562-45e4-9cc2-a04ef4a19400;148
2015-08-26;105307c4-8562-45e4-9cc2-a04ef4a19400;148
2015-08-27;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2015-08-28;105307c4-8562-45e4-9cc2-a04ef4a19400;147
2015-08-29;105307c4-8562-45e4-9cc2-a04ef4a19400;147
2015-08-30;105307c4-8562-45e4-9cc2-a04ef4a19400;147
